"filename", "language", "Python", "Markdown", "Shell Script", "JSON", "pip requirements", "YAML", "Docker", "HTML", "XML", "JavaScript", "TypeScript JSX", "TypeScript", "CSS", "JSON with Comments", "comment", "blank", "total"
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 6, 6, 19
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/README.md", "Markdown", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 109
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/__init__.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/common/__init__.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/common/auth_utils.py", "Python", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 18, 97
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/common/services/__init__.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/common/services/client_resolver.py", "Python", 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 34, 155
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/common/services/google_drive.py", "Python", 212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 56, 281
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/common/services/google_sheets.py", "Python", 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 39, 201
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/common/services/leads_scraper.py", "Python", 330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 56, 403
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/common/services/light_scraper.py", "Python", 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 182
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/common/utils/__init__.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/common/utils/concurrency_manager.py", "Python", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 20, 135
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/common/utils/memory_manager.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/config/__init__.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/config/client_allowlist.json", "JSON", 0, 0, 0, 560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 560
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/config/client_mappings.json", "JSON", 0, 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 155
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/config/meta_mappings.json", "JSON", 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 118
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/config/settings.py", "Python", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 24, 112
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/google_ads_wrapper/__init__.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/google_ads_wrapper/services/__init__.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/google_ads_wrapper/services/authentication.py", "Python", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 95
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/google_ads_wrapper/services/conversions.py", "Python", 3791, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 378, 834, 5003
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/google_ads_wrapper/services/google_ads_creative.py", "Python", 305, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 67, 390
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/google_ads_wrapper/services/reports.py", "Python", 257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 64, 352
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/google_ads_wrapper/utils/__init__.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/google_ads_wrapper/utils/mappings.py", "Python", 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 41, 186
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/google_analytics/__init__.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/google_analytics/services/__init__.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/google_analytics/services/authentication.py", "Python", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 33
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/google_analytics/services/reports.py", "Python", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 79
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/google_analytics/utils/__init__.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/main.py", "Python", 1188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 180, 283, 1651
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/meta/__init__.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/meta/services/__init__.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/meta/services/authentication.py", "Python", 229, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 53, 294
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/meta/services/meta_ads_creative.py", "Python", 259, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 70, 355
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/meta/services/reports.py", "Python", 795, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 167, 1044
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/meta/utils/__init__.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/meta/utils/mappings.py", "Python", 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28, 143
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/reports/__init__.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/reports/charts.py", "Python", 487, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 102, 627
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/reports/data_reader.py", "Python", 351, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 73, 441
"/Users/theocatala/Documents/Tarmaac/Projets/scrappingRapport/backend/reports/drive_report_service.py", "Python", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 127
